,Epoch,nData,att_time,pur_time,clf_time,std_acc,att_acc,pur_acc,count_att,count_diff
0,1,2,2.269006,8.962158,0.006049,2.0,0.0,2.0,0,0
1,2,2,1.733439,7.580154,0.007354,2.0,0.0,2.0,0,0
2,3,2,1.7024620000000001,7.618754,0.00598,2.0,0.0,1.0,1,0
3,4,2,1.522095,7.495387,0.00597,2.0,0.0,2.0,0,0
4,5,2,1.489465,7.472655,0.005998,2.0,0.0,1.0,0,1
5,6,2,1.477381,7.5265509999999995,0.005973,2.0,0.0,1.0,1,0
6,7,2,1.541481,7.482447,0.005972,1.0,0.0,2.0,0,0
7,8,2,1.534179,7.491663,0.006066,1.0,0.0,1.0,1,0
8,9,2,1.5353780000000001,7.465982,0.00596,1.0,0.0,1.0,0,1
9,10,2,1.489552,7.450821,0.005973,2.0,0.0,2.0,0,0
10,11,2,1.4884629999999999,7.460494,0.005955,0.0,0.0,0,2,0
11,12,2,1.484729,7.706564,0.007339,2.0,0.0,1.0,1,0
12,13,2,1.68814,7.707706,0.007364,2.0,0.0,1.0,0,1
13,14,2,1.682245,7.687825,0.006024,1.0,0.0,1.0,1,0
14,15,2,1.538652,7.503857,0.006044,2.0,0.0,1.0,1,0
15,16,2,1.5306250000000001,7.529594,0.00593,2.0,0.0,2.0,0,0
16,17,2,1.479617,7.462363,0.005958,2.0,0.0,2.0,0,0
17,18,2,1.481247,7.476436,0.007218,2.0,0.0,2.0,0,0
18,19,2,1.7859099999999999,7.704925,0.006028,2.0,0.0,1.0,1,0
19,20,2,1.523008,7.75352,0.007345,2.0,0.0,2.0,0,0
20,21,2,1.6742219999999999,7.891064,0.012558,2.0,0.0,2.0,0,0
21,22,2,1.6700279999999998,7.843461,0.00738,2.0,0.0,2.0,0,0
22,23,2,1.903063,7.843173,0.007391,2.0,0.0,2.0,0,0
23,24,2,1.9006370000000001,7.847768,0.007315,2.0,0.0,2.0,0,0
24,25,2,1.905735,7.833891,0.007344,2.0,0.0,2.0,0,0
25,26,2,1.906638,7.8376909999999995,0.007388,2.0,0.0,1.0,0,1
