,Epoch,nData,att_time,pur_time,clf_time,std_acc,att_acc,pur_acc,count_att,count_diff
0,1,2,2.342064,10.728913,0.007415,2.0,0.0,2.0,0,0
1,2,2,1.510017,9.154069,0.005871,2.0,0.0,2.0,0,0
2,3,2,1.335571,9.120818,0.005896,2.0,0.0,1.0,0,1
3,4,2,1.288106,9.101789,0.005817,2.0,0.0,2.0,0,0
4,5,2,1.267915,9.089846,0.005913,2.0,0.0,1.0,0,1
5,6,2,1.287319,9.088616,0.005883,2.0,0.0,2.0,0,0
6,7,2,1.343624,9.056509,0.005828,1.0,0.0,1.0,1,0
7,8,2,1.308718,9.058085,0.005885,1.0,0.0,1.0,1,0
8,9,2,1.281926,9.061727,0.005827,1.0,0.0,1.0,1,0
9,10,2,1.286875,9.054849,0.005862,2.0,0.0,1.0,0,1
10,11,2,0.052318,9.056891,0.005828,0.0,0.0,1.0,1,0
11,12,2,1.284467,9.35867,0.007237,2.0,0.0,2.0,0,0
12,13,2,1.501424,9.540275,0.00725,2.0,0.0,1.0,0,1
13,14,2,1.637489,9.542798,0.007322,1.0,0.0,1.0,1,0
14,15,2,1.6277970000000002,9.543799,0.007296,2.0,0.0,1.0,1,0
15,16,2,1.6324640000000001,9.635309,0.005855,2.0,0.0,2.0,0,0
16,17,2,1.609767,9.319117,0.006007,2.0,0.0,2.0,0,0
17,18,2,1.292237,9.226947,0.006039,2.0,0.0,2.0,0,0
18,19,2,1.361425,9.146485,0.005943,2.0,0.0,1.0,1,0
19,20,2,1.276919,9.18907,0.005874,2.0,0.0,2.0,0,0
20,21,2,1.2827169999999999,9.130868,0.005929,2.0,0.0,2.0,0,0
21,22,2,1.279387,14.218568,0.005875,2.0,0.0,2.0,0,0
22,23,2,1.333833,9.274363,0.005923,2.0,0.0,2.0,0,0
23,24,2,1.411446,9.11552,0.005927,2.0,0.0,2.0,0,0
24,25,2,1.320161,9.132554,0.005942,2.0,0.0,2.0,0,0
25,26,2,1.287955,9.317359,0.006628,2.0,0.0,1.0,0,1
26,27,2,1.532371,14.305896,0.005927,2.0,0.0,2.0,0,0
27,28,2,1.292719,9.104934,0.005883,2.0,0.0,2.0,0,0
28,29,2,1.278503,9.211091,0.005935,2.0,0.0,2.0,0,0
29,30,2,1.510694,9.194096,0.005918,2.0,0.0,1.0,1,0
30,31,2,1.285734,9.220918,0.005878,2.0,0.0,2.0,0,0
31,32,2,1.269937,9.062374,0.005843,2.0,0.0,2.0,0,0
32,33,2,1.288686,9.061054,0.005815,2.0,0.0,2.0,0,0
33,34,2,1.276323,9.066657,0.005853,2.0,0.0,2.0,0,0
34,35,2,1.278022,9.075258,0.005823,2.0,0.0,2.0,0,0
35,36,2,1.276952,9.060554,0.005824,2.0,0.0,2.0,0,0
36,37,2,1.289406,9.085466,0.005847,2.0,0.0,2.0,0,0
37,38,2,1.277573,9.099818,0.005839,2.0,0.0,2.0,0,0
38,39,2,1.323261,9.110757,0.005938,2.0,0.0,2.0,0,0
39,40,2,1.2891270000000001,9.184008,0.005915,2.0,0.0,1.0,1,0
40,41,2,1.488471,9.131372,0.005939,2.0,0.0,2.0,0,0
41,42,2,1.360936,9.403234,0.007206,2.0,0.0,2.0,0,0
42,43,2,1.358879,9.707013,0.007143,2.0,0.0,2.0,0,0
43,44,2,1.467038,9.817525,0.007147,2.0,0.0,2.0,0,0
44,45,2,1.511548,9.620819000000001,0.007178,1.0,0.0,1.0,1,0
45,46,2,1.684161,9.17829,0.005913,2.0,0.0,2.0,0,0
46,47,2,1.318491,9.22123,0.005971,2.0,0.0,2.0,0,0
47,48,2,0.054988,9.361102,0.011285,0.0,0.0,0,2,0
48,49,2,1.5005709999999999,9.435102,0.010375,2.0,0.0,2.0,0,0
49,50,2,1.346911,9.154469,0.005898,2.0,0.0,1.0,1,0
50,51,2,1.289672,9.196192,0.005866,2.0,0.0,2.0,0,0
51,52,2,1.5124689999999998,9.348608,0.007176,1.0,0.0,1.0,0,1
52,53,2,1.5100449999999999,9.436087,0.005915,2.0,0.0,1.0,0,1
53,54,2,1.351202,9.320517,0.00583,2.0,0.0,2.0,0,0
54,55,2,1.524125,9.207058,0.005934,2.0,0.0,2.0,0,0
55,56,2,0.053507,9.165522,0.005838,0.0,0.0,0,1,1
56,57,2,1.323632,9.19051,0.006053,1.0,0.0,1.0,0,1
57,58,2,1.370587,9.382197,0.00709,2.0,0.0,1.0,1,0
58,59,2,1.342292,9.18305,0.005974,2.0,0.0,2.0,0,0
59,60,2,1.341462,9.166653,0.005826,1.0,0.0,1.0,1,0
60,61,2,1.3617759999999999,9.184564,0.005907,1.0,0.0,1.0,1,0
61,62,2,1.366339,9.265305,0.00598,2.0,0.0,2.0,0,0
62,63,2,1.3629419999999999,9.219949,0.005838,1.0,0.0,1.0,1,0
63,64,2,1.327792,9.156497,0.005835,1.0,0.0,1.0,1,0
64,65,2,1.3493490000000001,9.155303,0.005921,2.0,0.0,1.0,1,0
65,66,2,1.31764,9.225358,0.007487,2.0,0.0,2.0,0,0
66,67,2,1.418627,9.19906,0.005805,2.0,0.0,1.0,0,1
67,68,2,1.347347,9.274584,0.00737,2.0,0.0,2.0,0,0
68,69,2,0.056078,9.285541,0.007206,0.0,0.0,0,1,1
69,70,2,1.442226,9.13177,0.005841,2.0,0.0,1.0,0,1
70,71,2,1.326852,9.092196,0.00586,2.0,0.0,2.0,0,0
71,72,2,1.308793,9.10151,0.005825,1.0,0.0,1.0,1,0
72,73,2,1.3302399999999999,9.143467,0.005901,1.0,0.0,0,2,0
73,74,2,1.321624,9.21535,0.005888,2.0,0.0,2.0,0,0
74,75,2,1.375056,9.37997,0.005832,2.0,0.0,2.0,0,0
75,76,2,1.310594,9.15709,0.005892,2.0,0.0,1.0,0,1
76,77,2,1.329991,9.182125,0.005901,2.0,0.0,2.0,0,0
77,78,2,1.321917,9.344023,0.006316,2.0,0.0,2.0,0,0
78,79,2,1.4737689999999999,9.651809,0.007093,1.0,0.0,1.0,1,0
79,80,2,1.609614,9.731328,0.007155,2.0,0.0,1.0,1,0
80,81,2,1.418494,9.398229,0.00588,2.0,0.0,1.0,1,0
81,82,2,1.384049,9.474526000000001,0.005924,2.0,0.0,2.0,0,0
82,83,2,1.364373,9.406918,0.00585,2.0,0.0,2.0,0,0
83,84,2,1.3307229999999999,9.690844,0.005808,2.0,0.0,1.0,0,1
84,85,2,1.474947,9.736674,0.007112,1.0,0.0,1.0,0,1
85,86,2,1.38213,9.790518,0.01053,2.0,0.0,1.0,1,0
86,87,2,1.431052,9.234225,0.005933,2.0,0.0,2.0,0,0
87,88,2,1.336775,9.156648,0.005824,2.0,0.0,2.0,0,0
88,89,2,1.301777,9.101617,0.005811,2.0,0.0,2.0,0,0
89,90,2,1.298019,9.101625,0.00583,2.0,0.0,2.0,0,0
90,91,2,1.298305,9.106327,0.005826,2.0,0.0,2.0,0,0
91,92,2,1.331095,9.144697,0.005812,2.0,0.0,2.0,0,0
